qber,photon_count,latency_ms,abort_flag,label
0.01493,1018,5.41078,0,normal
0.06345,1028,6.06599,0,intercept_resend
0.0189,1005,5.20574,0,normal
0.06253,800,6.66153,0,fiber_tap
0.07297,143,7.98141,1,detector_blind
0.08918,1045,6.35549,0,intercept_resend
0.05367,772,6.39837,0,fiber_tap
0.019,1008,5.6781,0,normal
0.08077,984,6.14581,0,intercept_resend
0.05207,706,6.88983,0,fiber_tap
0.05703,778,6.07297,0,fiber_tap
0.06893,116,7.94681,1,detector_blind
0.0861,221,8.28412,1,detector_blind
0.02871,988,5.87206,0,normal
0.08314,117,7.43298,0,detector_blind
0.09944,967,5.44146,0,intercept_resend
0.06182,163,8.21807,0,detector_blind
0.02399,984,5.38938,0,normal
0.05505,721,5.88739,0,fiber_tap
0.06614,733,6.60839,0,fiber_tap
0.06329,88,7.21007,1,detector_blind
0.07392,768,5.69689,0,fiber_tap
0.02553,1019,5.54986,0,normal
0.07196,766,6.30856,0,fiber_tap
0.02431,1045,5.64592,0,normal
0.08878,1003,6.02904,0,intercept_resend
0.0681,148,8.14069,1,detector_blind
0.06831,218,7.80417,1,detector_blind
0.04704,820,6.6916,0,fiber_tap
0.0577,801,7.23541,0,fiber_tap
0.04374,930,6.78277,0,fiber_tap
0.05483,749,6.86151,0,fiber_tap
0.07295,947,5.59851,0,intercept_resend
0.0846,1032,6.07451,0,intercept_resend
0.06862,950,6.34366,0,intercept_resend
0.07552,198,7.45699,1,detector_blind
0.06654,1030,5.8525,0,intercept_resend
0.08001,1003,5.80441,0,intercept_resend
0.0186,968,5.58805,0,normal
0.01922,1012,5.34161,0,normal
0.02382,997,5.90376,0,normal
0.07454,211,8.57086,0,detector_blind
0.08082,185,6.60866,1,detector_blind
0.08275,221,7.39885,1,detector_blind
0.10342,984,5.81129,0,intercept_resend
0.05971,31,8.31408,0,detector_blind
0.01824,964,5.83011,0,normal
0.02287,1008,5.79996,0,normal
0.06061,238,7.79213,1,detector_blind
0.08167,1009,5.47719,0,intercept_resend
0.06909,986,5.47028,0,intercept_resend
0.09091,1023,5.97154,0,intercept_resend
0.07309,1009,6.63883,0,intercept_resend
0.06421,850,5.94097,0,fiber_tap
0.11,1009,6.28901,0,intercept_resend
0.01361,1027,5.90318,0,normal
0.09873,1053,6.24194,0,intercept_resend
0.06857,835,6.87966,0,fiber_tap
0.07139,208,7.68284,1,detector_blind
0.04532,866,6.2561,0,fiber_tap
0.01465,960,5.3927,0,normal
0.06658,826,6.06596,0,fiber_tap
0.04669,784,7.08133,0,fiber_tap
0.02317,995,5.13984,0,normal
0.02012,1003,5.46299,0,normal
0.01671,1057,5.3033,0,normal
0.07489,230,8.90604,0,detector_blind
0.02303,1030,5.83918,0,normal
0.05857,151,7.59525,1,detector_blind
0.07654,158,8.08201,0,detector_blind
0.06035,659,6.68227,0,fiber_tap
0.08817,182,7.65033,1,detector_blind
0.09091,969,5.17478,0,intercept_resend
0.07106,146,7.68936,1,detector_blind
0.01632,977,5.56192,0,normal
0.05971,143,8.428,1,detector_blind
0.10276,1023,6.37989,0,intercept_resend
0.04367,738,6.60133,0,fiber_tap
0.08395,973,5.96979,0,intercept_resend
0.05277,854,6.9001,0,fiber_tap
0.05502,865,6.85607,0,fiber_tap
0.045,854,6.46442,0,fiber_tap
0.05401,203,7.32931,1,detector_blind
0.05878,127,7.32118,1,detector_blind
